106634_Bacteria_30	UP000064201
106634_Bacteria_30	UP000188549
106648_Bacteria_29	UP000042386
106648_Bacteria_29	UP000595822
106648_Bacteria_29	UP000490535
106648_Bacteria_29	UP000314717
106648_Bacteria_29	UP000053381
106649_Bacteria_30	UP000275960
106649_Bacteria_30	UP000384481
106654_Bacteria_30	UP000253602
106654_Bacteria_30	UP000325778
106654_Bacteria_30	UP000255766
106654_Bacteria_30	UP000237921
106654_Bacteria_30	UP000027208
106654_Bacteria_30	UP000252392
106654_Bacteria_30	UP000254130
1066_Bacteria_26	UP000480275
1066_Bacteria_26	UP000587070
1066_Bacteria_30	UP000480275
1066_Bacteria_30	UP000587070
1069201_Eukaryota_26	UP000075230
1069220_Bacteria_37	UP000466009
1069827_Bacteria_35	UP000571128
1069963_Bacteria_28	UP000592181
1070421_Bacteria_30	UP000549765
1070431_Bacteria_25	UP000538147
1070870_Bacteria_37	UP000184471
1071679_Bacteria_30	UP000027439
1071918_Bacteria_37	UP000198517
1071_Bacteria_25	UP000239724
1072105_Eukaryota_23	UP000190274
1072256_Bacteria_37	UP000035548
1072463_Bacteria_29	UP000276888
1073196_Bacteria_37	UP000219374
1073253_Bacteria_28	UP000578449
107327_Bacteria_27	UP000194841
1073325_Bacteria_28	UP000183945
1073327_Bacteria_28	UP000184609
1073328_Bacteria_28	UP000199592
1073423_Bacteria_10	UP000193435
1073996_Archaea_28	UP000198888
107401_Bacteria_25	UP000429474
107401_Bacteria_26	UP000429474
107401_Bacteria_30	UP000429474
1074311_Bacteria_28	UP000262832
1074467_Bacteria_30	UP000061546
1074_Bacteria_27	UP000439113
1074_Bacteria_27	UP000198418
1074_Bacteria_27	UP000536864
1074_Bacteria_30	UP000439113
1074_Bacteria_30	UP000198418
1074_Bacteria_30	UP000536864
1076124_Bacteria_28	UP000502508
1076125_Bacteria_28	UP000482960
1076126_Bacteria_28	UP000482800
1076549_Bacteria_28	UP000030853
1076549_Bacteria_28	UP000232062
1076550_Bacteria_28	UP000029495
1076550_Bacteria_28	UP000193558
1076551_Bacteria_28	UP000193104
1076588_Bacteria_35	UP000560539
1076588_Bacteria_35	UP000557069
1076588_Bacteria_35	UP000557275
1076588_Bacteria_35	UP000031631
1076926_Bacteria_30	UP000293344
1076926_Bacteria_30	UP000295021
1076926_Bacteria_30	UP000468864
1076926_Bacteria_30	UP000542811
1076926_Bacteria_30	UP000190139
1076926_Bacteria_30	UP000527490
1076926_Bacteria_30	UP000530654
1076937_Bacteria_50	UP000199771
1076_Bacteria_26	UP000032515
1076_Bacteria_26	UP000529429
1076_Bacteria_26	UP000248134
1076_Bacteria_26	UP000241774
1076_Bacteria_26	UP000285523
1076_Bacteria_29	UP000032515
1076_Bacteria_29	UP000529429
1076_Bacteria_29	UP000248134
1076_Bacteria_29	UP000241774
1076_Bacteria_29	UP000285523
1077255_Bacteria_28	UP000244223
1077256_Archaea_37	UP000246004
1077256_Archaea_37	UP000217528
1077464_Bacteria_37	UP000193958
1077464_Bacteria_37	UP000218665
1077464_Bacteria_37	UP000192789
1077464_Bacteria_37	UP000192532
1077464_Bacteria_37	UP000193538
1077464_Bacteria_37	UP000193633
1077464_Bacteria_37	UP000193657
1077464_Bacteria_37	UP000033377
1077464_Bacteria_37	UP000192428
1077464_Bacteria_37	UP000193949
1077464_Bacteria_37	UP000193063
1077464_Bacteria_37	UP000193030
1077464_Bacteria_37	UP000193237
1077675_Bacteria_37	UP000249828
1077942_Bacteria_28	UP000294114
1078050_Bacteria_30	UP000294614
1078480_Bacteria_37	UP000253872
1079859_Bacteria_28	UP000199306
1079994_Bacteria_37	UP000070810
1079994_Bacteria_37	UP000182690
1079_Bacteria_26	UP000065734
1079_Bacteria_26	UP000320948
1079_Bacteria_30	UP000065734
1079_Bacteria_30	UP000320948
108003_Bacteria_30	UP000189462
108015_Bacteria_30	UP000183174
108015_Bacteria_30	UP000285425
108015_Bacteria_30	UP000442708
108015_Bacteria_30	UP000051380
1080227_Bacteria_28	UP000094936
1082276_Bacteria_37	UP000295008
1082345_Bacteria_28	UP000549617
1082479_Bacteria_40	UP000199415
1082580_Bacteria_28	UP000245880
1082851_Bacteria_28	UP000196138
1082_Bacteria_26	UP000182983
1082_Bacteria_30	UP000182983
108486_Bacteria_37	UP000285278
1085644_Bacteria_30	UP000503320
1085647_Bacteria_30	UP000295454
1086013_Bacteria_28	UP000186141
