24_92696_Eukaryota	UP000292702
24_948311_Eukaryota	UP000283569
24_97331_Eukaryota	UP000283090
24_98403_Eukaryota	UP000076580
24_989403_Bacteria	UP000076577
25_1005928_Bacteria	UP000198599
25_100861_Eukaryota	UP000481153
25_1010_Bacteria	UP000199201
25_1010611_Bacteria	UP000316030
25_1031_Bacteria	UP000231370
25_1037362_Bacteria	UP000225972
25_1048_Bacteria	UP000295247
25_1049199_Bacteria	UP000269157
25_105351_Eukaryota	UP000286921
25_1058_Bacteria	UP000198816
25_1070431_Bacteria	UP000538147
25_1071_Bacteria	UP000239724
25_107401_Bacteria	UP000429474
25_1089305_Bacteria	UP000184522
25_1090615_Bacteria	UP000198741
25_1092_Bacteria	UP000053937
25_1093900_Eukaryota	UP000319257
25_1094_Bacteria	UP000279908
25_1098_Bacteria	UP000309544
25_1101402_Bacteria	UP000248840
25_1109740_Bacteria	UP000198384
25_1117708_Bacteria	UP000284531
25_111831_Bacteria	UP000516369
25_1124188_Bacteria	UP000184147
25_1129133_Bacteria	UP000535078
25_1137799_Bacteria	UP000028073
25_114155_Eukaryota	UP000292082
25_1155689_Bacteria	UP000184462
25_1156985_Bacteria	UP000198767
25_115852_Bacteria	UP000308271
25_1172190_Bacteria	UP000015520
25_1173061_Eukaryota	UP000242525
25_1188319_Bacteria	UP000033070
25_1195760_Bacteria	UP000184109
25_119927_Eukaryota	UP000292402
25_1208324_Bacteria	UP000031521
25_1236770_Bacteria	UP000270291
25_1242689_Bacteria	UP000294563
25_1244108_Bacteria	UP000198914
25_126156_Bacteria	UP000198734
25_127458_Bacteria	UP000295717
25_1282858_Bacteria	UP000581447
25_1285928_Bacteria	UP000198757
25_1293440_Bacteria	UP000553963
25_1299341_Bacteria	UP000198648
25_133383_Eukaryota	UP000187455
25_1335616_Bacteria	UP000032279
25_13370_Eukaryota	UP000290900
25_1353158_Archaea	UP000243338
25_1364_Bacteria	UP000218282
25_13706_Eukaryota	UP000242180
25_1381557_Bacteria	UP000268908
25_138278_Eukaryota	UP000034947
25_1396821_Bacteria	UP000199256
25_1397476_Bacteria	UP000530571
25_139825_Eukaryota	UP000287166
25_1420916_Bacteria	UP000061489
25_1420917_Bacteria	UP000035081
25_1435036_Bacteria	UP000182827
25_1436010_Bacteria	UP000294506
25_1461322_Bacteria	UP000031672
25_1473586_Bacteria	UP000253529
25_1473598_Bacteria	UP000593892
25_1486859_Bacteria	UP000184144
25_148813_Bacteria	UP000228859
25_1513892_Bacteria	UP000199615
25_153721_Bacteria	UP000030185
25_1539050_Bacteria	UP000249819
25_154538_Eukaryota	UP000184267
25_154654_Bacteria	UP000245060
25_1572751_Bacteria	UP000030988
25_157538_Eukaryota	UP000037923
25_157779_Bacteria	UP000194457
25_1639689_Bacteria	UP000244932
25_1639882_Bacteria	UP000582837
25_1649241_Eukaryota	UP000317257
25_1662395_Bacteria	UP000240418
25_173675_Bacteria	UP000197097
25_173676_Bacteria	UP000562395
25_1804624_Bacteria	UP000271573
25_181874_Eukaryota	UP000284842
25_186571_Bacteria	UP000294564
25_1869339_Bacteria	UP000530820
25_1873482_Bacteria	UP000186268
25_1873484_Bacteria	UP000186277
25_187493_Bacteria	UP000185497
25_1890683_Eukaryota	UP000279259
25_190387_Bacteria	UP000562464
25_1907219_Eukaryota	UP000267251
25_1911079_Bacteria	UP000239989
25_191960_Bacteria	UP000316649
25_192843_Bacteria	UP000192505
25_1945662_Bacteria	UP000193017
25_197222_Bacteria	UP000464524
25_198480_Bacteria	UP000247746
25_198481_Bacteria	UP000588111
25_207954_Bacteria	UP000243469
25_209559_Eukaryota	UP000326931
25_212818_Eukaryota	UP000054302
25_213248_Bacteria	UP000249542
25_215461_Eukaryota	UP000315522
25_215590_Bacteria	UP000315388
25_218672_Bacteria	UP000199399
25_218673_Bacteria	UP000198563
25_220697_Bacteria	UP000252266
25_221126_Bacteria	UP000029644
25_225843_Bacteria	UP000236329
25_228959_Bacteria	UP000186953
25_2294_Bacteria	UP000262726
25_232_Bacteria	UP000262534
25_237019_Bacteria	UP000248882
25_248905_Bacteria	UP000540519
25_248906_Bacteria	UP000561768
25_252_Bacteria	UP000319812
25_256325_Bacteria	UP000464367
25_256839_Bacteria	UP000321124
25_264023_Bacteria	UP000295455
25_265668_Bacteria	UP000029122
25_266809_Bacteria	UP000051298
25_270921_Bacteria	UP000276282
25_27292_Eukaryota	UP000501346
25_27342_Eukaryota	UP000053477
25_274537_Bacteria	UP000095185
25_274539_Bacteria	UP000566857
25_2756_Bacteria	UP000243591
25_279359_Bacteria	UP000198858
25_28005_Eukaryota	UP000015354
